LSOA_code,Region,LA_Code,LA_Name,SS_pop,SSPTt,SSPT15n,SSPT30n,SSPT45n,SSPT60n,SSPT15pct,SSPT30pct,SSPT45pct,SSPT60pct,SSCyct,SSCyc15n,SSCyc30n,SSCyc45n,SSCyc60n,SSCyc15pct,SSCyc30pct,SSCyc45pct,SSCyc60pct,SSCart,SSCar15n,SSCar30n,SSCar45n,SSCar60n,SSCar15pct,SSCar30pct,SSCar45pct,SSCar60pct
E01027729,Yorkshire and The Humber,E07000165,Harrogate,93,19,0,4,7,10,0,100,100,100,14,2,6,6,8,100,100,100,100,11,4,9,10,10,100,100,100,100
E01027730,Yorkshire and The Humber,E07000165,Harrogate,89,14,0,4,7,10,39,100,100,100,10,4,5,6,6,100,100,100,100,9,5,8,10,10,100,100,100,100
E01027731,Yorkshire and The Humber,E07000165,Harrogate,82,17,0,4,8,10,0,100,100,100,11,3,5,6,6,100,100,100,100,10,5,9,10,10,100,100,100,100
E01027732,Yorkshire and The Humber,E07000165,Harrogate,103,11,1,4,8,10,100,100,100,100,9,3,6,6,6,100,100,100,100,9,5,8,10,10,100,100,100,100
E01027733,Yorkshire and The Humber,E07000165,Harrogate,86,7,2,4,7,10,100,100,100,100,7,3,6,6,7,100,100,100,100,7,4,7,10,10,100,100,100,100
E01027734,Yorkshire and The Humber,E07000165,Harrogate,99,62,0,0,2,4,0,0,63,63,28,0,1,5,9,0,31,100,100,15,1,10,10,10,31,100,100,100
E01027735,Yorkshire and The Humber,E07000165,Harrogate,116,55,0,0,1,2,12,31,45,45,24,0,1,3,7,31,77,88,100,13,1,9,10,10,66,100,100,100
E01027736,Yorkshire and The Humber,E07000165,Harrogate,143,52,0,0,1,3,0,6,66,87,37,0,0,2,3,0,11,100,100,17,0,8,10,10,11,100,100,100
E01027737,Yorkshire and The Humber,E07000165,Harrogate,109,47,0,0,1,3,0,0,81,94,33,0,0,2,4,0,21,100,100,15,1,9,10,10,72,100,100,100
E01027738,Yorkshire and The Humber,E07000165,Harrogate,59,27,0,2,5,7,0,100,100,100,15,0,5,6,6,31,100,100,100,12,3,6,10,10,100,100,100,100
E01027739,Yorkshire and The Humber,E07000165,Harrogate,45,23,0,3,6,10,0,100,100,100,14,2,5,6,6,78,100,100,100,11,4,6,10,10,100,100,100,100
E01027740,Yorkshire and The Humber,E07000165,Harrogate,50,24,0,2,6,9,0,100,100,100,14,1,5,6,6,82,100,100,100,11,4,6,10,10,100,100,100,100
E01027741,Yorkshire and The Humber,E07000165,Harrogate,73,29,0,1,5,6,0,52,100,100,17,0,5,6,6,0,100,100,100,13,2,6,10,10,100,100,100,100
